group_id,question,answer
748919,what is item weight,Unable to extract measurement
916768,what is item volume,Unable to extract measurement
459516,what is item weight,Unable to extract measurement
459516,what is item weight,Unable to extract measurement
731432,what is item weight,1400.0 mg
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
149159,what is item weight,Unable to extract measurement
308856,what is item weight,10.0 kg
281678,what is item weight,100.0 0
281678,what is item weight,Unable to extract measurement
281678,what is item weight,Unable to extract measurement
281678,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
731432,what is item weight,Unable to extract measurement
252585,what is item volume,3.1 in
299791,what is item weight,Unable to extract measurement
884560,what is item weight,Unable to extract measurement
179080,what is item weight,Unable to extract measurement
